codigo;descricao;tipo;unidade;status;custo_padrao;estoque_atual;estoque_seguranca;lote_minimo;lead_time_dias;codigo_legado;referencia_legado;unidade_sugerida;revisar;motivo_revisao
MP-111;FERRITE 200X86X26 - AF SUB 2000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;111;FERRITE 200X86X26;;NAO;
MP-112;BOBINA EVK - S773861M1 - AF 12" SW 1500 8OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;112;BOBINA EVK - S773861M1;;NAO;
MP-113;BOBINA EVK - S774261M1 - AF 12" SW 2000 OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;113;BOBINA EVK - S774261M1;;SIM;Descricao nao informa a impedancia (esta escrito so "OHMS") - completar
MP-114;BOBINA EVK-S64204034M1 - AF 12" SW 1000 / S1000 4OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;114;BOBINA EVK-S64204034M1;;NAO;
MP-115;BOBINA EVK-S64204053M1 - AF 12" SW 1000 / S1000 8OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;115;BOBINA EVK-S64204053M1;;NAO;
MP-116;BORNE TH003-10 (PAR);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;116;BOR - TH003-10;;SIM;Descricao diz (PAR) mas unidade e UN - confirmar se 1 UN = 1 par ou 1 borne
MP-117;BORNE TH024-16 TP012 0.8MM (SUB 1500);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;117;BOR - TH024-16;;NAO;
MP-118;FERRITE 180X86X25 - AF SUB 121500;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;118;FERRITE 180X86X25;;NAO;
MP-119;BORNE TH24-16 (SUB 700 E 900);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;119;BOR - TH24-16;;NAO;
MP-120;CAR - 12" EVOK - 12" 1500 ANTIGO;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;120;CAR - 12" EVOK;;SIM;Marcado ANTIGO - avaliar inativar
MP-121;FERRITE 169X86X30 - AF DARK 15;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;121;FERRITE 169X86X30;;NAO;
MP-122;CAR - 12" EVOK SW 900 - 12" SW 900;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;122;CAR - 12" EVOK SW 900;;NAO;
MP-123;CAR - 12" GT PR FOS (038.016.08) - AF 12" 600;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;123;CAR - 12" GT PR FOS (038.016.08);;NAO;
MP-124;FERRITE 169X72X26 - AF 12" SW700X/SW900X;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;124;FERRITE 169X72X26;;NAO;
MP-125;CAR - 12" ST PR FOS (038.015.08) - AF 12" 1000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;125;CAR - 12" ST PR FOS (038.015.08);;NAO;
MP-126;FERRITE 169X72X24 - AF SUB 10" 1000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;126;FERRITE 169X72X24;;NAO;
MP-127;FERRITE 147X63X24 - AF SUB 12" 600;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;127;FERRITE 147X63X24;;NAO;
MP-128;CAR - 6"23 - AF 6" MB230X;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;128;CAR - 6"23;;NAO;
MP-129;CAR - 6"30 - AF 6" MB300;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;129;CAR - 6"30;;NAO;
MP-130;FERRITE 147X63X20 - AF 8" MB300;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;130;FERRITE 147X63X20;;NAO;
MP-131;CAR - 6X9 PR FOS ALU. (038.013.08) - AF 6X9 350 SUPREME/STEEL;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;131;CAR - 6X9 PR FOS ALU. (038.013.08);;NAO;
MP-132;CAR - 8SUB 40 - AF 8" MB300X;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;132;CAR - 8SUB 40;;NAO;
MP-133;FERRITE 147X63X18;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;133;FERRITE 147X63X18;;SIM;Descricao nao informa a qual alto-falante pertence - completar
MP-134;CAR - 6X9 ESS - AF 6X9 250/280;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;134;CAR - 6X9 ESS;;NAO;
MP-135;FERRITE 134X59X18 - AF 6" MB300;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;135;FERRITE 134X59X18;;NAO;
MP-136;CAR - 6" PR FOS ALU. (038.011.08) - AF 6" 350;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;136;CAR - 6" PR FOS ALU. (038.011.08);;NAO;
MP-137;CAR - 12" EVOK 2" PR FOS - AF 12" SW 1500 / SW 2000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;137;CAR - 12" EVOK 2" PR FOS;;NAO;
MP-138;CAR - 10" ST PR FOS - AF 10" 1000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;138;CAR - 10" ST PR FOS;;NAO;
MP-139;FERRITE 134X56X18 - AF 6 300 4 E 8 OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;139;FERRITE 134X56X18;;NAO;
MP-140;CAR - 12" 700 ALUM - AF 12 SW 700;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;140;CAR - 12" 700 ALUM;;NAO;
MP-141;FERRITE 134X51X18 - AF 6 350 / 6X9 350;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;141;FERRITE 134X51X18;;NAO;
MP-142;CAR - 15" ALUM - AF 15" DARK;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;142;CAR - 15" ALUM;;NAO;
MP-143;FERRITE 134X49X18;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;143;FERRITE 134X49X18;;SIM;Descricao nao informa a qual alto-falante pertence - completar
MP-144;FERRITE 134X45X18 - 6MB300;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;144;FERRITE 134X45X18;;NAO;
MP-145;FERRITE 115X45X20 - AF 6X9 MB280;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;145;FERRITE 115X45X20;;NAO;
MP-146;FERRITE 115X45X17 - AF 6X9 MB250 - 6" MB230X / 6" WF200;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;146;FERRITE 115X45X17;;NAO;
MP-147;FERRITE 102X51X14 - TWEETER;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;147;FERRITE 102X51X14;;NAO;
MP-148;CENTRAGEM DE TECIDO NA COR PRETA D66-115-115*45*3.7*0 - AF 6" 350 / 6X9 350;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;148;CENT - D66-115-115*45*3.7*0;;NAO;
MP-149;FERRAGEM TWEETER SUPREME - TW-01042026;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;149;FERRAG - TW - SUP- 01042026;;NAO;
MP-150;CENTRAGEM PRD01377 - KIT 8" MB250/MB300;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;150;CENT - PRD01377;;NAO;
MP-151;FERRAGEM TWEETER EVOK (9999700746);MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;151;FERRAG - TW - EVK (9999700746);;NAO;
MP-152;FERRAGEM SUB 12" SW900X 8OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;152;FERRAG - 12" SW900X 8OHMS;;NAO;
MP-153;FERRAGEM SUB 12" SW900X 4OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;153;FERRAG - 12" SW900X 4OHMS;;NAO;
MP-154;FERRAGEM SUB 12" SW700X 8OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;154;FERRAG - 12" SW700X 8OHMS;;NAO;
MP-155;FERRAGEM SUB 12" SW700X 4OHMS - COD 135;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;155;FERRAG - 12" SW700X 4OHMS;;SIM;Descricao cita "COD 135" - codigo de outro sistema - confirmar se e o mesmo item do legado 135
MP-156;CENTRAGEM PRD01768 - AF SUB 12SW900X;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;156;CENT - PRD01768;;NAO;
MP-157;CENTRAGEM PRD01775 - AF 6X9 MB280;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;157;CENT - PRD01775;;NAO;
MP-158;FERRAGEM SUB 12" 600 4OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;158;FERRAG - 12"600;;NAO;
MP-159;CENTRAGEM PRD02060 - AF 6" MB230/MB300;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;159;CENT - PRD02060;;NAO;
MP-160;FERRAGEM SUB 101000-31052023 8OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;160;FERRAG - 101000-31052023;;SIM;Referencia identica a MP-161 no legado (uma e 4 OHMS a outra 8 OHMS) - criar referencias distintas
